Date,Cumulative_energy_use_lower_bound,Cumulative_energy_use_estimate_bound,Cumulative_energy_use_upper_bound,Cumulative_renewable_energy_purchases,Data_storage_capacity_added_per_day,Data_storage_capacity,Energy_consumption_rate_lower_bound,Energy_consumption_rate_estimate_bound,Energy_consumption_rate_upper_bound,Energy_intensity_lower_bound,Energy_intensity_estimate_bound,Energy_intensity_upper_bound,Energy_used_to_seal_data_lower_bound,Energy_used_to_seal_data_estimate_bound,Energy_used_to_seal_data_upper_bound,Energy_used_to_store_data_lower_bound,Energy_used_to_store_data_estimate_bound,Energy_used_to_store_data_upper_bound,FIL_Open,FIL_High,FIL_Low,FIL_Close,FIL_AdjClose,FIL_Volume
2020-09-04,1209996.9310611456,9078277.563612701,18431511.408463143,6536910.774530767,14609408,150591341,4806.368860670544,35819.74887722104,73170.44732542905,34.27022585098828,255.4008898469752,521.7177100116407,3927.30105856,22330.04184576,36602.4108032,145.8928911608,485.0848276292,1309.7380700793,21.577213,21.750168,19.627045,20.949558,20.949558,12383956
2020-09-05,1331610.6291196905,9984055.789040403,20282827.9022958,7131196.602518413,15378912,165302294,5067.278703795296,37740.7234772943,77138.25884916396,32.91514561878686,245.14961217410328,501.0612542188039,4134.15912384,23506.20562464,38530.3261248,160.1448624272,532.4717494328,1437.6836416062,20.971737,21.460339,19.320528,19.890278,19.890278,11157500
2020-09-06,1459756.5777621216,10937873.94727631,22233475.138005815,7725482.430506058,16179360,181284907,5339.457960259888,39742.38547495659,81277.04348770663,31.625353838313583,235.3922462502132,481.40003692539847,4349.3355552,24729.6663792,40535.768544,175.6288179016,583.9549424284,1576.6892216511,19.890278,20.486441,19.413303,20.203026,20.203026,10939716
2020-09-07,1586906.6013424848,11882763.595059494,24168691.912720583,8319768.258493704,15990240,197461582,5297.960574981088,39370.364647759285,80634.1067323382,28.8088538218046,214.0852246814784,438.4661155980787,4298.4963168,24440.6021328,40061.947296,191.3007806416,636.0632479384,1717.3826171286,20.275537,20.751619,19.634346,20.467377,20.467377,9957541
2020-09-08,1700696.629088986,12725282.020560702,25900019.087178648,8914054.08648135,14180928,212556411,4741.289224805424,35104.90127809892,72138.69829725928,23.950915036639955,177.3345746305712,364.41308510184086,3812.11706496,21675.12302016,35528.8970112,205.9246509768,684.6867111132,1848.6668733903,20.447411,20.677572,19.60965,20.077477,20.077477,9091454
2020-09-09,1801801.7162652183,13470701.400436465,27437776.57843176,9508339.914468994,12467200,225733428,4212.745433874752,31059.111712569553,64073.28685105469,20.03868459489459,147.73827499786248,304.7761623197725,3351.432704,19055.741184,31235.32288,218.6905450464,727.1325182736,1963.2713433444,20.073824,20.44585,19.399841,20.313395,20.313395,9581440
2020-09-10,1903911.48023731,14222645.301312668,28990657.212079648,10102625.74245664,12554176,238218136,4254.607200522624,31330.966551133024,64703.418189141295,19.177170019887555,141.22085638474042,291.64348034963785,3374.81359232,19188.68139072,31453.2325504,230.7857301568,767.3482596832,2071.8545942328,20.331995,21.022532,19.774307,19.929527,19.929527,10236703
2020-09-11,2017315.2883930576,15058900.326089803,30715500.71956885,10696911.570444286,13990464,251328502,4725.196230556768,34843.92669273417,71868.54462006608,20.18728786819391,148.86246925698333,307.0414281487865,3760.91653248,21384.00451008,35051.7085056,243.4870527376,809.5793706424,2185.8793804446,19.956532,20.040115,17.199663,18.918404,18.918404,12620734
2020-09-12,2134031.607532457,15918967.281280296,32490616.9665409,11291197.398431933,14373408,265805237,4863.218549555408,35836.08956563951,73963.24388155299,19.6453659636144,144.76279177011523,298.78052551062245,3863.85953856,21969.32292576,36011.1364032,257.5121136056,856.2118294244,2311.7878877601,18.913046,19.279545,17.768951,18.329935,18.329935,9289330
2020-09-13,2239500.1427253555,16692768.966411324,34094064.42707716,11885483.226419576,12846848,279429178,4394.556787067552,32241.706878251753,66810.37067220744,16.886638159947253,123.8928210722768,256.72726728520854,3453.48967936,19636.02176256,32186.4929792,270.7109876464,900.0972681736,2430.2793898194,18.329935,19.003172,17.766479,18.18145,18.18145,9197071
2020-09-14,2347104.657188151,17481601.71832737,35729871.14780833,12479769.054407222,13080256,292516285,4483.55654989704,32868.00078253234,68158.67426710586,16.457826229721174,120.64882853093016,250.19058077051716,3516.23441792,19992.77888832,32771.2733824,283.389776908,942.253457242,2544.1018855305,18.091185,18.569212,17.664417,18.128639,18.128639,9357731
2020-09-15,2446711.459629269,18208862.745516244,37243571.5852889,13074054.882394869,11985056,304906961,4150.315608929424,30302.514809936325,63070.90736560922,14.615499224721045,106.71149460509706,222.10667442283903,3221.82275392,18318.79854432,30027.3593024,295.3938638168,982.1663027732,2651.8673119053,18.144333,18.569323,17.652281,17.911659,17.911659,9374042
2020-09-16,2544093.3975525647,18918276.681025263,38723175.35438386,13668340.710382512,11650336,316691714,4057.612022130976,29558.886771639176,61650.21129104435,13.75731520947606,100.21927191182944,209.02476255388024,3131.84332352,17807.18906592,29188.7518144,306.8109325232,1020.1273491368,2754.3628441722,17.902094,18.307661,17.472136,18.02022,18.02022,8725364
2020-09-17,2653285.509835233,19715971.65743686,40382621.451316014,14262626.53837016,13157152,329044193,4549.706665485712,33237.259956932605,69143.64863351728,14.846669345912408,108.46031290064124,225.6305656844336,3536.90560064,20110.31211744,32963.9286208,318.7780141784,1059.9171544916,2861.7960597789,18.010834,18.952145,17.683092,18.568575,18.568575,9442269
2020-09-18,2767786.379108967,20552678.156876717,42122788.15250066,14856912.366357803,13806400,342387234,4770.906616353056,34862.73856687245,72507.01016701762,14.961778546850256,109.3311221364894,227.38525744660225,3711.436448,21102.668208,34590.55456,331.7047522992,1102.8977581608,2977.8444902682,18.568575,19.438625,18.015774,18.906687,18.906687,8882176
2020-09-19,2883504.697348513,21397382.306062926,43881297.10036198,15451198.19434545,13915616,356456000,4821.6339497856,35195.9737179104,73271.270953736,14.524064770695722,106.01978650191096,220.71287373662588,3740.79589312,21269.60158752,34864.1843264,345.3345728,1148.2160672,3100.2047688,18.885443,19.028406,17.642431,18.139364,18.139364,7207981
2020-09-20,2986238.4822010007,22142732.264098465,45441671.44259098,16045484.022333097,12163008,369501711,4280.607020448624,31056.219846296124,65015.65422536097,12.439094740656587,90.24684095253619,188.93018645992797,3269.65981056,18590.79283776,30473.2002432,357.9732576168,1190.2389114732,3213.6672310803,18.13637,18.275475,16.371574,16.745331,16.745331,6940381
2020-09-21,3099617.7082553003,22967506.031081226,47164124.937807836,16639769.85032074,13514912,382386300,4724.1706997104,34365.542061894,71768.95856115471,13.265484835608392,96.49854039301822,201.52744089428583,3633.07864384,20657.13754464,33860.2605248,370.45584744,1231.74274956,3325.72836699,16.649578,17.098686,13.966206,15.709917,15.709917,8554981
2020-09-22,3217061.856061473,23821869.880292557,48948336.14748472,17234055.678308386,14000288,395864521,4893.543742363664,35598.461021216164,74342.19892362808,13.273234414834935,96.55716650725955,201.64557326527185,3763.55742016,21399.02019936,35076.3215552,383.5135479448,1275.1587950452,3442.9524984933,15.579985,16.487684,14.555677,16.351149,16.351149,7167104
2020-09-23,3331313.3470380674,24650875.86993384,50683664.05740504,17828341.50629603,13530528,409845484,4760.515113393856,34541.88463619666,72305.39257984287,12.471929984801504,90.49524189381424,189.43071753772588,3637.27653696,20681.00613216,33899.3848512,397.0583048992,1320.1942730608,3564.5491279932,16.830488,17.505423,15.340613,16.112314,16.112314,8097062
2020-09-24,3446398.669688218,25485023.073804524,52431494.5685979,18422627.33428368,13591264,423384187,4795.258262837808,34756.10175391371,72826.33458232654,12.161222624241608,88.14471876432385,184.69438333005476,3653.60358848,20773.83928608,34051.5528256,410.1746003656,1363.8051431644,3682.2992895951,16.102478,16.600517,14.987336,16.590204,16.590204,8848886
2020-09-25,3558353.2365409727,26294338.029622536,54131395.61594697,19016913.162271325,13132032,436700057,4664.808871804688,33721.42582419799,70829.27145059397,11.46965819292977,82.91298499270644,174.15237278055105,3530.15284224,20071.91695104,32900.9929728,423.0750152216,1406.6982236084,3798.1114057461,16.592491,16.688671,15.359608,16.349289,16.349289,8632239
2020-09-26,3668150.367591852,27086222.803947743,55798211.2385301,19611198.99025897,12802272,449566170,4574.91482815248,32995.16903211108,69450.71054994213,10.926706055807292,78.80551372388021,165.87576557193105,3441.50675904,19567.88868384,32074.8122688,435.539705496,1448.142546804,3910.011850341,16.380898,16.832842,15.131811,16.221144,16.221144,8505810
2020-09-27,3783479.562865863,27918812.549401704,57549152.25353428,20205484.81824661,13481024,462861672,4805.419326226048,34691.20791066845,72955.9383945072,11.147563137236403,80.47631314516008,169.2424478027418,3623.96887168,20605.34075328,33775.3575296,448.4203878336,1490.9700178464,4025.6468198856,16.189493,16.204081,14.736647,15.173901,15.173901,8759600
2020-09-28,3903758.3245621566,28787665.442729767,59375332.89390611,20799770.646234255,14081792,476564953,5011.652873249552,36202.17100240445,76090.92558207692,11.291684928786225,81.56660467829589,171.439399204724,3785.46732544,21523.59661824,35280.5216768,461.6961264664,1535.1110266036,4144.8283657269,15.322789,18.697372,15.322789,17.763321,17.763321,17132372
2020-09-29,4029336.215176707,29695370.946528777,61282072.012513645,21394056.474221904,14726176,490906709,5232.451641359056,37821.02826714876,79447.5318422304,11.444745134629372,82.72451594692681,173.77260523969443,3958.69063232,22508.51823072,36894.9613504,475.5904196792,1581.3086910308,4269.5629201857,17.773327,22.597506,17.725845,21.540382,21.540382,16078227
2020-09-30,4166619.0530177345,30690297.375270456,63367002.281842425,21988342.302209552,16208128,506323016,5720.161754095744,41455.230012179745,86872.17002243562,12.130550501022066,87.91268198563863,184.22682624944733,4357.06896896,24773.63740416,40607.8438912,490.5257379008,1630.9676991392,4403.6431670568,21.477507,22.936398,21.210981,22.186716,22.186716,14750775
2020-10-01,4312454.743723799,31748463.94191549,65582049.674831994,22592257.489710987,17270400,523302758,6076.533475141472,44090.233277349274,92293.72178770606,12.468170743322286,90.46680296648945,189.37341273496605,4642.628928,26397.288288,43269.26016,506.9757119504,1685.6628440696,4551.3210771534,22.242018,22.397251,21.169989,21.758898,21.758898,15845294
2020-10-02,4452198.559602832,32759100.81452593,67703975.97283365,23188172.677212425,16409824,540054934,5822.703047132256,42109.831369008854,88413.67215626093,11.576747839578385,83.72312573389429,175.78481674903395,4411.28888768,25081.92368928,41113.1730496,523.2052200592,1739.6249534008,4697.0197774782,21.664797,22.023842,19.179295,20.70903,20.70903,17809501
2020-10-03,4594845.933819872,33790269.64171483,69869907.78642091,23784087.86471386,16731264,556692019,5943.685507454896,42965.328725762,90247.236802326,11.464119297993719,82.87108286127466,174.06793944910035,4497.69838848,25573.23508608,41918.5088256,539.3232280072,1793.2163316028,4841.7174968487,20.807177,20.923155,20.061783,20.316441,20.316441,11834165
2020-10-04,4734884.757611076,34800271.65662584,71995819.67431477,24380003.052215297,16328704,573316123,5834.994825706032,42083.37915431153,88579.73802406403,10.928138483878216,78.8163501434165,165.89760109607224,4389.48220928,24957.93420288,40909.9350016,555.4286599624,1846.7658954076,4986.3023165679,20.409781,21.814026,20.083618,21.564394,21.564394,13751247
2020-10-05,4873350.203105065,35796979.22238468,74097498.96289724,24975918.23971673,16063840,589462897,5769.436685628048,41529.44439152775,87570.04515285074,10.509373027220024,75.64835988424488,159.51406015327933,4318.2814688,24553.0975248,40246.344736,571.0716546136,1898.7778838164,5126.7356540781,21.530573,21.837091,19.965164,20.777245,20.777245,13939732
2020-10-06,5004641.681447886,36738088.64156895,76089582.93175222,25571833.42721817,15066048,604849072,5470.518709090048,39212.85728113965,83003.5688516938,9.711389185903345,69.611555758992,147.34982253114424,4050.05502336,23028.00238656,37746.4766592,585.9777809536,1948.3398307264,5260.5538339056,20.804974,20.883034,19.470276,19.470373,19.470373,12446092
2020-10-07,5142645.487962869,37728627.7068104,78183747.6031547,26167748.614719607,15891296,620513758,5750.201264975072,41272.423939591674,87256.93530029706,9.950192908730704,71.41812279011295,150.99007823447963,4271.89819072,24289.36919712,39814.0529984,601.1537287504,1998.7989172696,5396.7943074534,19.550411,20.055908,18.596428,19.500299,19.500299,14696171
2020-10-08,5287970.840564096,38773130.42856074,80389266.44312808,26763663.80222105,16793440,637046450,6055.2681070408,43520.9075206178,91896.69652457903,10.206154703574622,73.35449184800177,154.89188668404944,4514.4125408,25668.2692368,42074.284576,617.17060076,2052.05402474,5540.584089585,19.560175,20.585331,19.512207,20.234339,20.234339,14326140
2020-10-09,5434002.176131616,39821567.493158765,82605296.21769619,27359578.989722483,16827360,653366103,6084.684155027952,43684.83839338825,92334.65229063026,9.999569664059555,71.79166143190922,151.74276338138577,4523.5309152,25720.1149392,42159.267744,632.9810805864,2104.6228909836,5682.5210076219,20.242172,22.689537,19.965759,22.22176,22.22176,18017452
2020-10-10,5581709.814815199,40881203.72435679,84846614.79924163,27955494.17722392,16985568,670565091,6154.530542906544,44151.46996558005,93388.35331798783,9.854937186111561,70.69750652009878,149.53802722189823,4566.06038976,25961.93112096,42555.6420672,649.6434601608,2160.0242711292,5832.1057659543,22.19297,27.831268,22.189569,26.134886,26.134886,14383633
2020-10-11,5720279.34794216,41870284.50474033,86948379.53019933,28551409.36472536,15725664,687092040,5773.77276250176,41211.66245732496,87573.60367722755,9.022868751863518,64.40285004175048,136.85421380611456,4227.37299648,24036.20565408,39399.0785856,665.654768352,2213.260879248,5975.845599492,26.090647,27.391697,23.916943,26.476744,26.476744,22896861
2020-10-12,5825148.046455671,42603286.745247126,88536213.44993761,29147324.552226797,11251744,700167777,4369.559310036368,30541.733744075267,66159.79904528905,6.700934744151517,46.83725526329917,101.45931537543768,3024.69382208,17197.95315168,28190.1194176,678.3225423576,2255.3804432724,6089.5692069021,26.418056,28.055487,25.622137,27.37142,27.37142,20190714
2020-10-13,5957010.55612972,43539369.98765611,90535334.60515411,29743239.73972823,14750240,713290777,5494.310833437968,39003.43398636567,83296.78347964805,8.270780341126777,58.71324809066452,125.38959301133704,3965.1595168,22545.2993328,36955.251296,691.0361047576,2297.6522508724,6203.7038748021,27.581671,35.078121,27.579967,33.309551,33.309551,26861144
2020-10-14,6088408.8938315585,44470666.29484253,92527152.4461856,30339154.92722967,14635936,728089175,5474.9700277468,38803.9786190351,82992.47818972607,8.074154246199553,57.22575779383033,122.39228101381497,3934.43231552,22370.58909792,36668.8740544,705.37279274,2345.32085051,6332.4099817275,33.524559,34.664761,26.961361,30.216923,30.216923,31721719
2020-10-15,6177230.3216886595,45078798.87774099,93869745.45184824,30935070.114731103,8998752,740427140,3700.91698452896,25338.83660530856,55941.417135257456,5.366941780984291,36.745504270173,81.12430788525147,2419.04451264,13754.32246944,22545.4732608,717.325813232,2385.063903368,6439.716964722,30.111212,131.86145,22.549198,59.259228,59.259228,155585295
2020-10-16,6239576.814068668,45486056.355951965,94808654.08883217,31530985.302232545,5496512,747254940,2597.78527122016,16969.04875570776,39121.21880011167,3.732796594801058,24.383080508639505,56.213865687572415,1477.57235584,8401.25369664,13770.9611648,723.940585872,2407.057612728,6499.100389662,59.766708,70.716904,39.324623,44.040546,44.040546,298888285
2020-10-17,6306713.829249677,45929072.36286784,95820502.55490202,32126900.48973398,6105600,752852822,2797.392023025248,18458.986029295447,42160.38118134656,3.989726445159264,26.326772974872647,60.13043089874255,1641.307392,9332.226432,15296.97024,729.3638139536,2425.0895102264,6547.7868487806,44.094788,50.126324,40.632431,41.978329,41.978329,146392993
2020-10-18,6375061.798588926,46380713.11415776,96850714.91352493,32722815.677235417,6242240,759075393,2847.848813095312,18818.35005910861,42925.54400727008,4.028393499839344,26.619291974779888,60.719860429672025,1678.0389568,9541.0765728,15639.308096,735.3922407384,2445.1336559316,6601.9064155389,41.959751,41.963085,32.064705,32.441029,32.441029,113244527
2020-10-19,6436623.005855502,46780509.60431069,97777381.56829059,33318730.86473685,5329792,764893562,2565.064610600608,16658.174642642407,38611.13543141442,3.600784854905272,23.38440237166149,54.201516452086366,1432.75468544,8146.42717824,13353.2608768,741.0288828656,2463.8751419144,6652.5087767826,32.403004,34.851723,30.118111,33.882938,33.882938,165602768
2020-10-20,6511519.408497096,47280660.578262754,98907233.42092142,33914646.052238286,7059360,771021770,3120.70239425168,20839.60742841668,47077.19339554653,4.345958585533799,29.02169427930949,65.56073183943288,1897.6971552,10790.0199792,17686.520544,746.965890776,2483.615325524,6705.807640221,33.897694,33.897694,30.220015,31.051367,31.051367,159278253
2020-10-21,6590461.091942161,47810780.02298216,100098637.6067816,34510561.23973973,7564192,778385567,3289.257116284528,22088.292531416828,49641.87629733136,4.53735665893241,30.469634223997733,68.47834937088311,2033.40609344,11561.64054624,18951.3266368,754.0999373096,2507.3355884204,6769.8527918691,31.052084,31.591314,26.823235,26.82373,26.82373,121870445
2020-10-22,6668764.960895133,48335430.071558565,101280204.11384888,35106476.42724116,7453472,785860588,3262.681215219392,21860.401284031792,49231.97249876793,4.457886465684682,29.868436598691265,67.2669284567111,2003.64234304,11392.40834784,18673.9287488,761.3417376544,2531.4141260656,6834.8652920124,26.723509,26.773901,22.917082,23.770475,23.770475,131813182
2020-10-23,6755268.9839249775,48921430.14207039,102586650.09210967,35702391.6147426,8501952,793812131,3604.357116400304,24416.649749413005,54435.28868035036,4.875396625188439,33.026930446221485,73.63133400843171,2285.49473664,12994.97857344,21300.7905408,769.0451925128,2557.0276363772,6904.0222469463,23.736696,25.20401,20.908739,24.497433,24.497433,152750723
2020-10-24,6850357.473055056,49571599.184713565,104023818.15154117,36298306.80224404,9597216,802789656,3962.046144146304,27090.354363700702,59882.04716215058,5.299289324161172,36.23370865566602,80.09303316775869,2579.92360512,14669.05673952,24044.8649664,777.7426187328,2585.9460399072,6982.1024751288,24.498106,26.561028,22.508595,25.737793,25.737793,209835957
2020-10-25,6959216.7146377,50325048.98184625,105670745.16905265,36894221.98974548,11368576,813196776,4535.832251552384,31393.714997306783,68622.01199648826,5.9890950614638,41.4521377828782,90.60823468840115,3056.10060032,17376.52735872,28482.8303104,787.8250365888,2619.4694548512,7072.6163199048,25.736814,39.096718,25.37361,38.494858,38.494858,362525482
2020-10-26,7077341.207619319,51147543.619067214,107458723.0895502,37490137.17724691,12541792,825357775,4921.8875426748,34270.5805944199,74499.13841688348,6.403085628646944,44.584005665896136,96.91898858064665,3371.48452544,19169.75281824,31422.2056768,799.60661242,2658.64246483,7178.3841765075,38.496922,40.238499,32.274654,33.72261,33.72261,328497595
2020-10-27,7199720.443629256,52001119.316125154,109311362.13206711,38086052.36474835,13054400,838198387,5099.169878284208,35565.62355716091,77193.35422112234,6.532095564620483,45.55997494416954,98.88557917502413,3509.283808,19953.258768,32706.49376,812.0465973256,2700.0046442044,7290.0628312551,33.723522,37.382252,33.115692,35.245758,35.245758,281520832
2020-10-28,7328879.210772406,52904832.89955641,111267141.962733,38681967.55224978,13896832,851544351,5381.652603676784,37654.700188655486,81490.89098313195,6.785912531766956,47.48011822902702,102.75469248414196,3735.74637824,21240.89080704,34817.1228928,824.9761672488,2742.9946634412,7406.1366839523,35.249313,36.196545,32.751049,33.615265,33.615265,216184588
2020-10-29,7460766.771173195,53827962.46570561,113264300.00114524,39277882.73975121,14203936,865789495,5495.35314716568,38463.698751365984,83214.98440247854,6.815271547920338,47.702221260005274,103.2022329359042,3818.30207552,21710.29005792,35586.5412544,838.776862756,2788.881121294,7530.0309748635,33.614792,34.046764,31.977867,32.643192,32.643192,185711692
2020-10-30,7595268.492129131,54769636.63258518,115301088.06216018,39873797.92725266,14495808,880083015,5604.27728716056,39236.389766834465,84866.23670324983,6.837476481144852,47.87020314829706,103.54071859205602,3896.76310656,22156.40765376,36317.7973632,852.624424932,2834.923407918,7654.3460063595,32.640877,32.640877,28.753237,29.268766,29.268766,209568228
2020-10-31,7734760.057117386,55747804.9326301,117413716.58042674,40469713.114754096,15098784,894641666,5812.189073862944,40756.97724054874,88026.25856293246,6.975743177159902,48.916200470136936,105.64841659102731,4058.85511488,23078.03838048,37828.4934336,866.7288460208,2881.8197345192,7780.9669617018,29.264725,31.961834,28.475515,31.146847,31.146847,181778860
2020-11-01,7871741.571518023,56705679.13245936,119487849.44433177,41065862.71085769,14714496,909785861,5707.602601091024,39911.39062901992,86422.27117524133,6.736191328392848,47.10397381343824,101.99675666967332,3955.55081472,22490.66570112,36865.6982784,881.4005421368,2930.6022154532,7912.6805688753,31.147087,31.698109,30.667553,31.591875,31.591875,141046706
2020-11-02,8006574.708493554,57646039.25185578,121529007.77206932,41662012.306961276,14379552,924420563,5618.085975887792,39181.638059871686,85048.3306087232,6.525573017936618,45.51063141778517,98.7861513374465,3865.51116864,21978.71384544,36026.5295808,895.5786414344,2977.7435175356,8039.9629625799,31.595461,31.825472,29.51115,29.743048,29.743048,219772147
2020-11-03,8139100.934842463,58567737.05130248,123534784.02549563,42258161.90306486,14025920,938462513,5521.963750453392,38404.04222116269,83574.07586586774,6.317954470573196,43.93998244181783,95.62127353650749,3770.4478144,21438.1979424,35140.539968,909.1824825944,3022.9754468756,8162.0900143149,29.742138,29.742138,28.13422,28.788294,28.788294,259968420
2020-11-04,8286859.113338027,59603384.07708938,125772524.6966243,42854311.49916845,15973088,953344992,6156.633650403328,43151.92210463693,93239.2690030547,6.934147764929831,48.60152823851911,105.01434801449778,4293.88551616,24414.38581536,40018.9746752,923.6006282496,3070.9148882304,8291.5273989216,28.794304,29.392834,28.375723,28.857746,28.857746,193294321
2020-11-05,8433868.845432663,60631964.957458146,127998605.67229564,43450461.09527204,15816064,969635911,6125.447962167024,42857.499745591325,92753.44762787678,6.783112705604303,47.45893734634047,102.71201273427762,4251.67432448,24174.37934208,39625.5667456,939.3832705768,3123.3911965132,8433.2144087403,28.859255,29.966993,28.410061,29.346533,29.346533,114425034
2020-11-06,8585088.10303388,61691059.53756325,130288618.2871981,44046610.69137561,16313312,985090454,6300.846193136736,44128.902740011734,95417.2682444222,6.8678790426712375,48.10020067373305,104.00416655125072,4385.34453184,24934.40799264,40871.3718848,954.3556318352,3173.1733704248,8567.6272055742,29.350529,32.980946,29.239832,31.754433,31.754433,222704034
2020-11-07,8738339.525317965,62764070.86195613,132609348.93974856,44642760.28747921,16519328,1001994330,6385.52027463952,44708.76660421092,96697.18743899235,6.842753478335969,47.910124004789246,103.6211596291304,4440.72575296,25249.29726816,41387.5243712,970.732106904,3227.624135796,8714.645286309,31.757534,33.081043,29.556396,29.940458,29.940458,250025476
2020-11-08,8891286.903375091,63833372.48828787,134925193.30283585,45238909.8835828,16420448,1018349276,6372.851499739584,44554.196082585586,96493.59158429476,6.71949924714388,46.97769703974248,101.74230735352504,4414.14483136,25098.16215456,41139.7904192,986.5767785888,3280.3066878512,8856.8891581548,29.93771,31.055048,29.694471,30.691877,30.691877,158935676
2020-11-09,9052714.118577903,64965385.38672888,137370045.94482344,45835059.479686394,17474112,1035056252,6726.180876037568,47167.16329310437,101868.94144446682,6.977574125498346,48.93005172364654,105.67632704423391,4697.39078784,26708.65596864,43779.6402048,1002.7624969376,3334.1231989424,9002.1947405196,30.691168,32.237671,30.363079,31.19936,31.19936,120973317
2020-11-10,9221018.82390728,66147844.02581416,139919455.350771,46431209.075789966,18311296,1053428805,7012.74521206472,49269.06719814402,106225.47717416415,7.147970322730674,50.21911099166662,108.27379797750773,4922.44259072,27988.26659712,45877.1209984,1020.561826284,3393.304866666,9161.9863457265,31.197712,31.198271,30.370979,30.370979,30.370979,166251727
2020-11-11,9384904.898853198,67295398.05801187,142401244.38166913,47027358.67189356,17669120,1070566715,6828.63388883256,47814.710077550066,103407.95855705312,6.848886393057051,47.95651993785346,103.71464802841982,4749.8128384,27006.7198464,44268.213248,1037.165033492,3448.509502358,9311.0398903695,30.371283,30.908148,29.90296,30.097725,30.097725,136605538
